Car_Name,Selling_Price,km_driven,Fuel_Type,Seller_Type,Transmission
Volkswagen Polo Diesel Comfortline 1.2L,225000,120000,Diesel,Individual,Manual
Maruti Alto LXi,150000,90246,Petrol,Individual,Manual
Maruti Alto LX BSIII,110000,90000,Petrol,Individual,Manual
Maruti Alto LXi BSIII,150000,40000,Petrol,Individual,Manual
Maruti Gypsy King Hard Top,165000,60000,Petrol,Individual,Manual
Renault Duster 85PS Diesel RxL,610000,32000,Diesel,Individual,Manual
Tata Manza Club Class Quadrajet90 VX,170000,60400,Diesel,Individual,Manual
Hyundai Verna CRDi,150000,70950,Diesel,Individual,Manual
Hyundai i20 Asta 1.4 CRDi,300000,90000,Diesel,Individual,Manual
Hyundai Xcent 1.1 CRDi Base,375000,72000,Diesel,Individual,Manual
Maruti Swift VDI,390000,90000,Diesel,Individual,Manual
Hyundai i20 Active 1.2 S,600000,10000,Petrol,Individual,Manual
Maruti Alto 800 LXI,204999,25000,Petrol,Individual,Manual
Hyundai Verna CRDi,270000,80000,Diesel,Individual,Manual
Hyundai Grand i10 Sportz,375000,10000,Petrol,Individual,Manual
Maruti Baleno Zeta,700000,1100,Petrol,Individual,Manual
Maruti Swift VXI Deca,455000,40000,Petrol,Individual,Manual
Hyundai i10 Sportz 1.1L,375000,10000,Petrol,Individual,Manual
Hyundai Grand i10 Asta,341000,31491,Petrol,Individual,Manual
Maruti Swift Dzire VDI,200000,107143,Diesel,Individual,Manual
Maruti Ignis 1.2 AMT Delta BSIV,450000,15000,Petrol,Individual,Automatic
Hyundai Santro Xing GL Plus,170000,50000,Petrol,Individual,Manual
Toyota Innova Crysta 2.4 VX MT 8S BSIV,1900000,100000,Diesel,Individual,Manual
Mahindra Bolero Power Plus LX,500000,60000,Diesel,Individual,Manual
Maruti Vitara Brezza ZDi Plus,819999,85000,Diesel,Individual,Manual
Maruti Swift 1.2 DLX,351000,40000,Petrol,Individual,Manual
Hyundai i10 Magna 1.2 iTech SE,195000,80000,Petrol,Individual,Manual
Maruti Swift Dzire VDi,250000,82000,Diesel,Individual,Manual
Maruti Zen Estilo 1.1 VXI BSIII,120000,70000,Petrol,Individual,Manual
Maruti A-Star Vxi,180000,70000,Petrol,Individual,Manual
Mahindra KUV 100 mFALCON D75 K6,430000,20000,Diesel,Individual,Manual
Tata Nano Cx BSIV,75000,35000,Petrol,Individual,Manual
Mahindra Xylo D4,750000,80000,Diesel,Individual,Manual
Tata Nano Lx,60000,40000,Petrol,Individual,Manual
Toyota Innova 2.5 VX (Diesel) 8 Seater,1500000,46412,Diesel,Individual,Manual
Mahindra Bolero SLX 2WD BSIII,390000,150000,Diesel,Individual,Manual
Mahindra TUV 300 T4,630000,50000,Diesel,Individual,Manual
Tata Safari Storme VX Varicor 400,1085000,15000,Diesel,Individual,Manual
Hyundai i10 Magna 1.2 iTech SE,190000,60000,Petrol,Individual,Manual
Maruti Baleno Delta Automatic,550000,25000,Petrol,Individual,Automatic
Maruti Alto 800 LXI,200000,90000,Petrol,Individual,Manual
Chevrolet Spark 1.0 LT,165000,60000,Petrol,Individual,Manual
Ford Figo Diesel Celebration Edition,260000,65000,Diesel,Individual,Manual
Maruti Alto LX,151000,40000,Petrol,Individual,Manual
Maruti Vitara Brezza VDi,780000,50000,Diesel,Individual,Manual
Tata Indica Vista Quadrajet LX,175000,80000,Diesel,Individual,Manual
Tata Indica Vista TDI LS,170000,107500,Diesel,Dealer,Manual
Tata Indica Vista TDI LS,210000,135000,Diesel,Dealer,Manual
Maruti Alto LXi,90000,43826,Petrol,Dealer,Manual
Hyundai i20 Active S Petrol,535000,55838,Petrol,Dealer,Manual
Maruti Swift VDI BSIV,195000,112880,Diesel,Dealer,Manual
Tata Indica Vista Terra Quadrajet 1.3L,140000,90000,Diesel,Individual,Manual
Nissan Sunny XL,350000,40000,Petrol,Individual,Manual
Hyundai Verna 1.6 SX VTVT (O),425000,66000,Petrol,Individual,Manual
Renault KWID 1.0 RXT Optional,300000,30300,Petrol,Individual,Manual
Volkswagen Vento Diesel Style Limited Edition,340000,85000,Diesel,Individual,Manual
Maruti Swift Dzire VXi,250000,80659,Petrol,Dealer,Manual
Chevrolet Aveo 1.4 LS,170000,81324,Petrol,Dealer,Manual
Honda Amaze S i-Dtech,315000,127884,Diesel,Dealer,Manual
Chevrolet Beat PS,200000,50000,Petrol,Individual,Manual
Chevrolet Beat PS,300000,25000,Petrol,Individual,Manual
Honda Amaze S i-Dtech,300000,66755,Diesel,Dealer,Manual
Honda City E,380000,123084,Petrol,Dealer,Manual
Maruti Swift VXI BSIII,250000,806599,Petrol,Dealer,Manual
Honda Amaze S i-Dtech,310000,95851,Diesel,Dealer,Manual
Maruti Wagon R VXI Minor ABS,260000,50000,Petrol,Individual,Manual
Maruti Omni BSIII 8-STR W/ IMMOBILISER,150000,50000,Petrol,Individual,Manual
Maruti Esteem Vxi - BSIII,85000,60000,Petrol,Individual,Manual
Maruti Alto 800 LXI,280000,15000,Petrol,Individual,Manual
Mahindra Xylo H4 ABS,850000,40000,Diesel,Individual,Manual
Datsun GO Plus T Option BSIV,375000,20000,Petrol,Individual,Manual
Hyundai Elantra CRDi (Leather Option),125000,120000,Diesel,Individual,Manual
Chevrolet Beat Diesel LT,250000,110000,Diesel,Individual,Manual
Toyota Corolla Altis D-4D J,715000,234000,Diesel,Individual,Manual
Hyundai i20 1.4 CRDi Era,220000,70000,Diesel,Individual,Manual
Tata Indica Vista Aqua 1.3 Quadrajet,110000,110000,Diesel,Individual,Manual
Hyundai Verna XXi (Petrol),150000,84000,Petrol,Individual,Manual
Nissan Sunny Diesel XV,300000,170000,Diesel,Individual,Manual
Datsun RediGO T Option,220000,40000,Petrol,Individual,Manual
Maruti Wagon R LX,75000,96000,Petrol,Individual,Manual
Tata Indigo LS,100000,20000,Diesel,Individual,Manual
Ford Figo Aspire 1.2 Ti-VCT Trend,380000,15000,Petrol,Individual,Manual
Hyundai Santro Xing XK (Non-AC),100000,50000,Petrol,Individual,Manual
Volkswagen Passat 1.8 TSI MT,480000,80000,Petrol,Individual,Manual
Toyota Etios GD,300000,124000,Diesel,Individual,Manual
Chevrolet Beat Diesel LS,190000,70000,Diesel,Individual,Manual
Ford Figo Diesel LXI,190000,130000,Diesel,Individual,Manual
Ford EcoSport 1.5 Ti VCT MT Trend BSIV,650000,19014,Petrol,Dealer,Manual
Toyota Corolla Executive (HE),300000,23262,Petrol,Dealer,Manual
Ford Freestyle Titanium Diesel BSIV,700000,29600,Diesel,Dealer,Manual
Hyundai i10 Sportz 1.1L,310000,35925,Petrol,Dealer,Manual
Maruti Ignis 1.2 Zeta BSIV,500000,12000,Petrol,Individual,Manual
Toyota Etios V,415000,40771,Petrol,Dealer,Manual
Maruti Celerio VXI AT,395000,30500,Petrol,Dealer,Automatic
Toyota Etios Liva 1.2 G,430000,42000,Petrol,Dealer,Manual
Toyota Corolla H6,215000,55800,Petrol,Dealer,Manual
Renault Duster RXL AWD,550000,66569,Diesel,Dealer,Manual
Volkswagen Polo 1.5 TDI Trendline,415000,81358,Diesel,Dealer,Manual
Volkswagen Polo 1.5 TDI Comfortline,450000,82695,Diesel,Dealer,Manual
Ford Figo Diesel EXI,285000,68293,Diesel,Dealer,Manual
Honda Jazz VX CVT,580000,32000,Petrol,Dealer,Automatic
Maruti Swift Dzire Tour LDI,300000,190621,Diesel,Dealer,Manual
Hyundai Verna CRDi 1.6 SX Option,1200000,60000,Diesel,Individual,Manual
Maruti 800 Std MPFi,78000,64700,Petrol,Individual,Manual
Maruti 800 AC,65000,100000,Petrol,Individual,Manual
Tata Zest Quadrajet 1.3 75PS XE,400000,88470,Diesel,Individual,Manual
Hyundai Verna 1.6 CRDI SX Option,850000,75000,Diesel,Individual,Manual
Volkswagen Vento Diesel Highline,450000,120000,Diesel,Individual,Manual
Mercedes-Benz E-Class E250 CDI Blue Efficiency,2500000,35000,Diesel,Individual,Automatic
Toyota Etios 1.4 VXD,780000,70000,Diesel,Individual,Manual
Toyota Fortuner 2.8 2WD AT BSIV,3200000,57000,Diesel,Individual,Automatic
Maruti Alto 800 VXI,350000,1000,Petrol,Individual,Manual
Mahindra Quanto C6,285000,120000,Diesel,Individual,Manual
Volkswagen Vento 1.5 TDI Highline,525000,98000,Diesel,Dealer,Manual
Maruti Ciaz ZDi,550000,90000,Diesel,Dealer,Manual
Volkswagen Ameo 1.5 TDI Comfortline,580000,70000,Diesel,Individual,Manual
Tata Nano CX SE,75000,25000,Petrol,Individual,Manual
Tata Manza Aura Quadrajet,185000,60000,Diesel,Individual,Manual
Maruti Omni E 8 Str STD,110000,90000,Petrol,Individual,Manual
Honda City 1.5 EXI,180000,200000,Petrol,Individual,Manual
Volkswagen Polo Diesel Comfortline 1.2L,350000,110000,Diesel,Individual,Manual
Chevrolet Optra 1.6 LS,60000,126000,Petrol,Individual,Manual
Mahindra TUV 300 T10,695000,70000,Diesel,Individual,Manual
Mahindra Alturas G4 4X2 AT BSIV,2700000,5000,Diesel,Individual,Automatic
Maruti Zen Estilo LX BSIII,135000,74183,Petrol,Individual,Manual
Mahindra Bolero Power Plus Plus AC BSIV PS,640000,70000,Diesel,Individual,Manual
Maruti Alto 800 VXI,160000,90000,Petrol,Individual,Manual
Tata Indica LXI,80000,46000,Petrol,Individual,Manual
Maruti Swift Dzire VDI,340000,110000,Diesel,Individual,Manual
Maruti Ritz VDi,110000,80000,Diesel,Individual,Manual
Tata Sumo Gold EX,250000,90000,Diesel,Individual,Manual
Toyota Innova Crysta 2.4 VX MT BSIV,1300000,70000,Diesel,Individual,Manual
Mahindra Quanto C6,250000,1,Diesel,Individual,Manual
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,450000,192000,Diesel,Individual,Manual
Maruti Wagon R LX Minor,240000,70000,Petrol,Individual,Manual
Mahindra Bolero DI DX 7 Seater,225000,120000,Diesel,Individual,Manual
Maruti Wagon R VXI Optional,275000,60000,Petrol,Individual,Manual
Tata Sumo Victa CX 7/9 Str BSII,320000,120000,Diesel,Individual,Manual
Maruti Alto LX BSIII,75000,120000,Petrol,Individual,Manual
Tata Indica GLS BS IV,85000,50000,Petrol,Individual,Manual
Tata Indica Vista Aqua TDI BSIII,90000,120000,Diesel,Individual,Manual
Maruti Wagon R LXI Minor,85000,80000,Petrol,Individual,Manual
Mahindra Scorpio M2DI,350000,80000,Diesel,Individual,Manual
Skoda Superb Elegance 2.0 TDI CR AT,355000,100000,Diesel,Individual,Automatic
Maruti Swift VXI,619000,1500,Petrol,Individual,Manual
Jeep Compass 2.0 Longitude Option BSIV,1700000,50000,Diesel,Individual,Manual
Tata Indica DL,55000,100000,Diesel,Individual,Manual
Ford Fiesta 1.6 ZXi Leather,95000,83411,Petrol,Individual,Manual
Volkswagen Vento Diesel Highline,300000,120000,Diesel,Individual,Manual
Ford Fiesta 1.6 ZXi Leather,81000,83411,Petrol,Individual,Manual
Skoda Superb Elegance 2.0 TDI CR AT,1000000,80000,Diesel,Individual,Automatic
Maruti Ertiga VDI,925000,50000,Diesel,Individual,Manual
Mahindra Bolero Power Plus Plus AC BSIV PS,450000,40000,Diesel,Individual,Manual
Mahindra Scorpio EX,600000,13270,Diesel,Individual,Manual
Hyundai Santro Xing XL AT eRLX Euro III,85000,100000,Petrol,Individual,Automatic
Mahindra Thar DI 4X4 PS,700000,50000,Diesel,Individual,Manual
Hyundai Grand i10 1.2 Kappa Magna BSIV,486000,26500,Petrol,Individual,Manual
Maruti Swift VDI,400000,90000,Diesel,Individual,Manual
Ford Fiesta 1.4 Duratec ZXI,120000,100000,Petrol,Individual,Manual
Maruti Alto 800 LXI,275000,35000,Petrol,Individual,Manual
Hyundai i20 Asta Option 1.4 CRDi,580000,57000,Diesel,Individual,Manual
Maruti Swift Dzire LXI,375000,70000,Petrol,Individual,Manual
Maruti Wagon R VXI BS IV with ABS,229999,100000,Petrol,Individual,Manual
Maruti Alto LX,110000,88000,Petrol,Individual,Manual
Maruti Swift Dzire VDI,600000,60000,Diesel,Individual,Manual
Maruti A-Star Vxi,120000,76000,Petrol,Individual,Manual
Ford Figo Diesel Titanium,200000,100000,Diesel,Individual,Manual
Hyundai Verna 1.6 SX CRDi (O),450000,110000,Diesel,Individual,Manual
Hyundai Verna 1.6 SX CRDi (O),550000,80000,Diesel,Individual,Manual
Maruti Alto LX,220000,80000,Petrol,Individual,Manual
Maruti 800 EX,40000,30000,Petrol,Individual,Manual
Renault KWID Climber 1.0 AMT,300000,20000,Petrol,Individual,Automatic
Mahindra Bolero Power Plus SLE,630000,40000,Diesel,Individual,Manual
Maruti Swift Dzire VDI,610000,40000,Diesel,Individual,Manual
Hyundai Xcent 1.2 VTVT S,660000,7000,Petrol,Individual,Manual
Maruti Wagon R LXI Petrol BSIV,220000,80000,Petrol,Individual,Manual
Nissan Micra Diesel XV Premium,138000,90000,Diesel,Individual,Manual
Nissan Micra Diesel XV Premium,210000,13770,Diesel,Individual,Manual
Maruti Zen LXi - BS III,125000,34000,Petrol,Dealer,Manual
Maruti Alto LXi BSIII,125000,102000,Petrol,Dealer,Manual
Honda City i DTEC SV,725000,110000,Diesel,Individual,Manual
Maruti Alto K10 2010-2014 VXI,170000,90000,Petrol,Individual,Manual
Toyota Innova 2.5 VX (Diesel) 7 Seater,1200000,70000,Diesel,Individual,Manual
Maruti Wagon R VXI BSIII,70000,90000,Petrol,Individual,Manual
Maruti Alto LXi,100000,70000,Petrol,Individual,Manual
Honda Civic 1.8 (E) MT,300000,80000,Petrol,Individual,Manual
Maruti Swift VDI,450000,100000,Diesel,Individual,Manual
Maruti Swift Dzire VDI,530000,100000,Diesel,Individual,Manual
Maruti Zen Estilo 1.1 LXI BSIII,100000,143000,Petrol,Individual,Manual
Honda City 1.5 V MT,350000,115000,Petrol,Individual,Manual
Tata Manza ELAN Quadrajet BS IV,165000,100000,Diesel,Individual,Manual
Maruti Swift Dzire ZDI,475000,120000,Diesel,Individual,Manual
Mahindra Xylo E4 ABS BS IV,350000,42000,Diesel,Individual,Manual
Renault KWID RXL,229999,38000,Petrol,Individual,Manual
Honda WR-V i-DTEC VX,800000,35000,Diesel,Individual,Manual
Maruti Swift Dzire ZDI,475000,120000,Diesel,Individual,Manual
Nissan Terrano XL 110 PS,425000,136906,Diesel,Individual,Manual
Maruti Ciaz VDi Plus,660000,97000,Diesel,Individual,Manual
Honda Amaze S CVT Petrol,610000,10000,Petrol,Individual,Automatic
Honda Brio S MT,240000,50000,Petrol,Individual,Manual
Maruti Esteem Lxi,70000,60000,Petrol,Individual,Manual
Toyota Corolla Altis Diesel D4DGL,550000,120000,Diesel,Individual,Manual
Tata Indica Vista Aura 1.2 Safire,100000,120000,Petrol,Individual,Manual
Mahindra Bolero SLE,350000,90000,Diesel,Individual,Manual
Hyundai EON Era Plus,200000,120000,Petrol,Individual,Manual
Hyundai Elite i20 Asta Option CVT BSIV,720000,3000,Petrol,Individual,Automatic
Maruti Ritz VDi,350000,133000,Diesel,Individual,Manual
Maruti Wagon R VXI BS IV,400000,25000,Petrol,Individual,Manual
Hyundai i20 Active 1.2 S,570000,35000,Petrol,Individual,Manual
Maruti Omni MPI STD BSIV,130000,70000,Petrol,Individual,Manual
Maruti Alto 800 LXI,210000,52000,Petrol,Individual,Manual
Hyundai Creta 1.4 E Plus,800000,52000,Diesel,Individual,Manual
Honda Jazz 1.5 E i DTEC,700000,39000,Diesel,Individual,Manual
Tata Indica Vista Quadrajet VX,200000,28689,Diesel,Individual,Manual
Tata Aria Pure LX 4x2,495000,90000,Diesel,Individual,Manual
Ford Fiesta Classic 1.4 Duratorq CLXI,325000,80322,Diesel,Dealer,Manual
Ford Freestyle Trend Petrol BSIV,650000,8000,Petrol,Individual,Manual
Mahindra Jeep MM 775 XDB,155000,50000,Diesel,Individual,Manual
Maruti 800 AC BSIII,75000,90000,Petrol,Individual,Manual
Hyundai Grand i10 1.2 CRDi Magna,350000,61658,Diesel,Dealer,Manual
Maruti Zen Estilo LX BSIV,90000,50000,Petrol,Individual,Manual
Maruti Ertiga SHVS VDI,600000,80000,Diesel,Individual,Manual
Mahindra Scorpio SLE BSIII,400000,185000,Diesel,Individual,Manual
Maruti Swift VDI BSIV,370000,57000,Diesel,Individual,Manual
Maruti 800 DX,50000,60000,Petrol,Individual,Manual
Honda City 1.5 GXI,125000,120000,Petrol,Individual,Manual
Honda CR-V Diesel 4WD,1800000,26000,Diesel,Individual,Automatic
Hyundai Grand i10 1.2 Kappa Magna AT,650000,20000,Petrol,Individual,Automatic
Maruti Ertiga BSIV VXI AT,800000,30600,Petrol,Individual,Automatic
Volkswagen Polo 1.0 TSI Highline Plus,802000,5000,Petrol,Individual,Manual
Audi A4 35 TDI Premium,2300000,35000,Diesel,Individual,Automatic
Hyundai Xcent 1.1 CRDi SX,430000,35000,Diesel,Individual,Manual
Hyundai Verna 1.6 SX VTVT,650000,23000,Petrol,Individual,Manual
Mahindra Scorpio 2.6 SLX Turbo 7 Seater,170000,120000,Diesel,Individual,Manual
Skoda Superb Elegance 2.0 TDI CR AT,450000,235000,Diesel,Individual,Automatic
Maruti Alto 800 LXI,250000,87000,Petrol,Individual,Manual
Ford Ecosport 1.0 Ecoboost Titanium,550000,72000,Petrol,Individual,Manual
Jaguar XF 3.0 Litre S Premium Luxury,2000000,64000,Diesel,Individual,Automatic
Maruti Zen Estilo VXI BSIII,140000,100000,Petrol,Individual,Manual
Chevrolet Beat LT,155000,12000,Petrol,Individual,Manual
Hyundai Accent Executive,120000,67000,Petrol,Individual,Manual
Toyota Innova 2.5 E 8 STR,287000,70000,Diesel,Individual,Manual
Maruti Baleno Alpha 1.3,675000,60000,Diesel,Individual,Manual
Hyundai i10 Magna 1.2 iTech SE,235000,74500,Petrol,Individual,Manual
Hyundai i20 1.4 CRDi Asta,300000,118700,Diesel,Individual,Manual
Nissan Micra XL CVT,434999,40000,Petrol,Individual,Automatic
Mahindra Scorpio VLX AT 2WD BSIII,225000,223660,Diesel,Individual,Automatic
Toyota Corolla AE,160000,140000,Petrol,Individual,Manual
Hyundai Grand i10 Nios Sportz,600000,5000,Petrol,Individual,Manual
Chevrolet Tavera Neo 3 LT 9 Seats BSIII,470000,100000,Diesel,Individual,Manual
Maruti Swift Dzire VXi,300000,100000,Petrol,Individual,Manual
Maruti Baleno Delta 1.2,600000,2000,Petrol,Individual,Manual
Hyundai Grand i10 Nios AMT Magna,640000,4000,Petrol,Individual,Automatic
Tata Indica DLS,50000,120000,Diesel,Individual,Manual
Hyundai Verna 1.6 VTVT S,600000,35000,Petrol,Individual,Manual
Hyundai i10 Magna Petrol,290000,29000,Petrol,Individual,Manual
Hyundai Verna 1.6 VTVT S,600000,30000,Petrol,Individual,Manual
Tata Manza Aqua Quadrajet BS IV,190000,120000,Diesel,Individual,Manual
Hyundai i10 Era 1.1,160000,110000,Petrol,Individual,Manual
Maruti Alto K10 VXI,325000,15000,Petrol,Individual,Manual
Mahindra Bolero DI,200000,73756,Diesel,Individual,Manual
Toyota Fortuner 2.8 2WD AT BSIV,2800000,40000,Diesel,Individual,Automatic
Chevrolet Spark 1.0 LS,125000,60000,Petrol,Individual,Manual
Hyundai i10 Magna 1.1,155000,60000,Petrol,Individual,Manual
Hyundai i20 Asta 1.4 CRDi,550000,90000,Diesel,Individual,Manual
Maruti Wagon R LX BSIII,130000,70000,Petrol,Individual,Manual
Maruti 800 AC,80000,70000,Petrol,Individual,Manual
Toyota Etios Cross 1.4L GD,500000,80000,Diesel,Individual,Manual
Renault KWID RXT BSIV,250000,27000,Petrol,Individual,Manual
Mahindra XUV500 W8 2WD,580000,70000,Diesel,Individual,Manual
Daewoo Matiz SD,60000,50000,Petrol,Individual,Manual
Toyota Etios GD,300000,185000,Diesel,Individual,Manual
Ford Figo Diesel Titanium,200000,90000,Diesel,Individual,Manual
Tata Hexa XT,1200000,16400,Diesel,Individual,Manual
Toyota Etios Cross 1.4L GD,350000,80000,Diesel,Individual,Manual
Mahindra XUV500 W8 4WD,600000,80000,Diesel,Individual,Manual
Honda Jazz V,650000,4000,Petrol,Individual,Manual
Maruti A-Star Lxi,120000,40000,Petrol,Individual,Manual
Tata New Safari DICOR 2.2 EX 4x2,180000,120000,Diesel,Individual,Manual
Hyundai Verna VTVT 1.6 AT SX Option,950000,41395,Petrol,Individual,Automatic
Tata Manza Aura Quadrajet BS IV,250999,35000,Diesel,Individual,Manual
Skoda Laura Ambiente 2.0 TDI CR MT,385000,52000,Diesel,Dealer,Manual
Audi A8 L 3.0 TDI quattro,1250000,47000,Diesel,Dealer,Automatic
Chevrolet Beat LT,165000,50000,Petrol,Individual,Manual
Hyundai Elantra SX,700000,48000,Petrol,Dealer,Manual
Mahindra XUV500 W8 4WD,750000,53000,Diesel,Dealer,Manual
Mahindra Renault Logan 1.5 DLS,89999,213000,Diesel,Individual,Manual
Datsun redi-GO AMT 1.0 T Option,290000,15000,Petrol,Dealer,Automatic
Tata Nano Cx BSIII,45000,7000,Petrol,Individual,Manual
Skoda Superb Ambition 2.0 TDI CR AT,675000,88000,Diesel,Dealer,Automatic
Nissan Terrano XL Plus 85 PS,530000,55000,Diesel,Dealer,Manual
BMW X1 sDrive20d M Sport,1485000,48000,Diesel,Dealer,Automatic
Chevrolet Enjoy TCDi LT 7 Seater,325000,71014,Diesel,Dealer,Manual
Honda Amaze S Diesel,400000,60000,Diesel,Dealer,Manual
Mahindra KUV 100 D75 K6 Plus,380000,71000,Diesel,Dealer,Manual
Honda City i-VTEC CVT VX,750000,45000,Petrol,Dealer,Automatic
Honda Brio VX,390000,45000,Petrol,Dealer,Manual
Maruti Alto LXi,110000,20000,Petrol,Individual,Manual
MG Hector Sharp Diesel MT BSIV,1825000,14000,Diesel,Dealer,Manual
Audi A4 35 TDI Premium Plus,3256000,17000,Diesel,Dealer,Automatic
Renault Scala Diesel RxL,370000,60000,Diesel,Dealer,Manual
Chevrolet Beat Diesel LT,210000,80000,Diesel,Individual,Manual
Skoda Laura Ambiente 1.9 PD,175000,181000,Diesel,Individual,Manual
Hyundai Verna 1.6 SX CRDi (O),575000,89550,Diesel,Individual,Manual
Mahindra Xylo D4,320000,90000,Diesel,Individual,Manual
Maruti Swift Ldi BSIV,280000,149500,Diesel,Individual,Manual
Renault Duster 85PS Diesel RxL Optional,500000,190000,Diesel,Individual,Manual
Ford Fiesta Diesel Style,380000,83000,Diesel,Dealer,Manual
Maruti 800 AC BSIII,120000,20000,Petrol,Individual,Manual
Maruti Eeco 5 Seater AC BSIV,395000,20000,Petrol,Individual,Manual
Skoda Laura 1.9 TDI MT Ambiente,360000,160000,Diesel,Individual,Manual
Nissan Terrano XL Plus 85 PS,451000,100000,Diesel,Individual,Manual
Chevrolet Spark 1.0 LS,175000,45000,Petrol,Individual,Manual
Chevrolet Spark 1.0 LS,170000,44800,Petrol,Individual,Manual
Hyundai Santro Xing XL eRLX Euro III,100000,40000,Petrol,Individual,Manual
Maruti Omni MPI STD BSIV,150000,120000,Petrol,Individual,Manual
Tata Indica Vista Quadrajet LX,149000,10000,Diesel,Individual,Manual
Tata Indica Vista Aqua 1.3 Quadrajet,160000,80000,Diesel,Individual,Manual
Datsun GO Plus T Option Petrol,434999,10000,Petrol,Individual,Manual
Mahindra XUV500 W8 4WD,800000,156000,Diesel,Individual,Manual
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,819999,120000,Diesel,Individual,Manual
Maruti Baleno Vxi,163000,100000,Petrol,Individual,Manual
Mercedes-Benz E-Class 220 CDI,350000,100000,Diesel,Individual,Manual
Tata Indica GLS BS IV,75000,100000,Petrol,Individual,Manual
Maruti Alto LXi,180000,60000,Petrol,Individual,Manual
Ford Figo Aspire 1.5 TDCi Trend,675000,30000,Diesel,Individual,Manual
Maruti Swift VDI,400000,170000,Diesel,Individual,Manual
Volkswagen Polo Diesel Highline 1.2L,434999,100000,Diesel,Individual,Manual
Tata Indigo GLX,100000,110000,Petrol,Individual,Manual
Maruti Swift Dzire LDI Optional,419000,170000,Diesel,Individual,Manual
Tata Indica GLS BS IV,200000,100000,Petrol,Individual,Manual
Renault Scala Diesel RxL,400000,35000,Diesel,Individual,Manual
Ford EcoSport 1.5 Diesel Ambiente BSIV,790000,40000,Diesel,Individual,Manual
Renault Duster 85PS Diesel RxL Plus,500000,90000,Diesel,Individual,Manual
Skoda Rapid 1.6 TDI Elegance,275000,120000,Diesel,Individual,Manual
Hyundai i20 1.4 CRDi Sportz,450000,120000,Diesel,Individual,Manual
Mahindra XUV500 W11 Option AWD,1400000,25000,Diesel,Dealer,Manual
Renault Duster 110PS Diesel RxL,800000,15000,Diesel,Individual,Manual
Maruti Wagon R VXI,315000,41000,Petrol,Dealer,Manual
Maruti Baleno Alpha,700000,16000,Petrol,Individual,Manual
Mahindra Bolero SLX,585000,51000,Diesel,Dealer,Manual
Chevrolet Sail 1.2 LT ABS,350000,30000,Petrol,Individual,Manual
Honda City i-DTEC SV,495000,80000,Diesel,Dealer,Manual
Hyundai Grand i10 1.2 Kappa Asta,500000,50000,Petrol,Individual,Manual
Hyundai Grand i10 1.2 Kappa Sportz Option,345000,44000,Petrol,Dealer,Manual
Maruti Baleno Sigma 1.2,500000,10000,Petrol,Individual,Manual
Maruti Wagon R VXI,360000,33000,Petrol,Dealer,Manual
Maruti Alto LXi BSIII,210000,25000,Petrol,Individual,Manual
Maruti Alto K10 LXI,220000,66000,Petrol,Dealer,Manual
Chevrolet Aveo 1.4 LT BSIV,250000,48000,Petrol,Individual,Manual
Toyota Innova 2.5 G (Diesel) 8 Seater,990000,146000,Diesel,Dealer,Manual
Mahindra Quanto C4,220000,100000,Diesel,Individual,Manual
Jaguar XF 3.0 Litre S Premium Luxury,1800000,50000,Diesel,Individual,Automatic
Honda City i VTEC V,530000,50000,Petrol,Individual,Manual
Maruti Baleno Alpha 1.3,575000,50000,Diesel,Individual,Manual
Mahindra Xylo E4,400000,99000,Diesel,Dealer,Manual
Honda Mobilio S i DTEC,680000,50000,Diesel,Individual,Manual
Hyundai Santa Fe 4WD AT,1000000,80000,Diesel,Individual,Automatic
Maruti Alto 800 LXI,260000,45000,Petrol,Individual,Manual
Tata Manza Aura (ABS) Safire BS IV,150000,50000,Petrol,Individual,Manual
Maruti Alto LXi BSIII,180000,70000,Petrol,Individual,Manual
Force One EX,346000,37516,Diesel,Individual,Manual
Mahindra Xylo D2 BS IV,450000,20000,Diesel,Individual,Manual
Hyundai Grand i10 1.2 Kappa Sportz BSIV,500000,5000,Petrol,Individual,Manual
Hyundai Grand i10 1.2 CRDi Asta,700000,8000,Diesel,Individual,Manual
Maruti Alto 800 LXI,280000,25880,Petrol,Individual,Manual
Hyundai Santro Magna AMT BSIV,475000,10000,Petrol,Individual,Automatic
Maruti Swift Dzire VDi,300000,50000,Diesel,Individual,Manual
Maruti Alto K10 LXI,200999,40000,Petrol,Individual,Manual
Skoda Laura 1.9 TDI MT Ambiente,200000,100000,Diesel,Individual,Manual
Chevrolet Aveo U-VA 1.2 LS,210000,80000,Petrol,Individual,Manual
Tata Indigo LS BSII,160000,110000,Diesel,Individual,Manual
Hyundai Verna CRDi SX ABS,175000,136000,Diesel,Individual,Manual
Tata New Safari DICOR 2.2 GX 4x2 BS IV,320000,80000,Diesel,Individual,Manual
Maruti Alto LXi,110000,50000,Petrol,Individual,Manual
Maruti Wagon R LXI Minor,300000,30000,Petrol,Individual,Manual
Honda City V MT,700000,10000,Petrol,Individual,Manual
Tata Indica Vista Aura 1.3 Quadrajet,135000,90000,Diesel,Individual,Manual
Mahindra Bolero Power Plus Plus Non AC BSIV PS,500000,110000,Diesel,Individual,Manual
Mahindra Scorpio VLX 2WD AIRBAG BSIV,550000,120000,Diesel,Individual,Manual
